Id,SalePrice
1461,203594.10363550842
1462,166725.02408202508
1463,212510.8774618214
1464,184804.03175409694
1465,297641.82059605536
1466,146194.01825296794
1467,290779.87796459236
1468,228667.11296515475
1469,167612.8276677815
1470,122505.36632708853
1471,132493.7299312339
1472,366148.19684414216
1473,127478.45616664726
1474,227536.04154865458
1475,153312.81527774525
1476,144945.94900522399
1477,143988.01855451695
1478,117890.64525294119
1479,152070.89500815098
1480,137994.03989207736
1481,321636.97223148315
1482,144454.73513627428
1483,254608.80654356378
1484,143370.61070709687
1485,138407.77240277172
1486,264273.208166937
1487,126009.68540375026
1488,298031.9325387305
1489,172553.98993758994
1490,81975.93403901275
1491,91466.73301741682
1492,141500.31360226226
1493,215012.22070107592
1494,174432.67950641527
1495,301077.07894021564
1496,312542.14361047535
1497,146626.65218632144
1498,151751.90530212474
1499,129580.19087247182
1500,97655.16191480475
1501,157639.82608689868
1502,152964.75813431074
1503,138043.34355257495
1504,125854.24834332801
1505,137551.01391923652
1506,303648.9851522794
1507,253903.96819516414
1508,258886.7620020897
1509,121788.23713713679
1510,128126.87192956406
1511,173476.05859023653
1512,121232.2907511556
1513,112437.32750533085
1514,365207.3015697666
1515,131426.09029959035
1516,168963.9937430697
1517,211662.72284400614
1518,202067.39008909772
1519,374099.13419675035
1520,121595.66842615836
1521,159041.96721815848
1522,95795.9832549491
1523,214168.5239471236
1524,165322.9860181069
1525,229296.68559369876
1526,315643.0331256751
1527,243630.51739317976
1528,220858.03256535868
1529,95972.6446631729
1530,246123.36359942987
1531,252829.34234953462
1532,123435.1503784882
1533,188059.79638033215
1534,140865.27844278936
1535,131066.55377733885
1536,98416.76912677307
1537,115153.1813363787
1538,120370.62641709311
1539,134669.05829082665
1540,116058.04516404943
1541,186097.34980005395
1542,168509.026998966
1543,253655.46654820128
1544,131158.27322367462
1545,172366.04740454257
1546,274630.83812210115
1547,181421.2016371846
1548,148499.6762973588
1549,125992.22796102102
1550,119150.0933348112
1551,102845.78969078697
1552,141543.69550623588
1553,128854.7249922672
1554,181062.5708370609
1555,194173.3214640437
1556,176769.75525950585
1557,232741.06513338414
1558,121610.27691831907
1559,92647.90538667286
1560,124385.46804311425
1561,195604.0184749185
1562,179991.41761225727
1563,139561.30052913216
1564,196988.98815317664
1565,171260.68214361128
1566,260173.81157322213
1567,102525.04991327238
1568,107209.83690840227
1569,128014.74539698128
1570,197661.2817856795
1571,150879.20014194702
1572,171148.3059755859
1573,288571.2199284167
1574,197728.40351099148
1575,182450.0847457352
1576,167375.27016192942
1577,138428.99473576725
1578,146769.14522545514
1579,278306.3902812026
1580,172475.07639262395
1581,144050.20099562383
1582,103146.40925141469
1583,137328.7041631294
1584,167195.21219654323
1585,180808.12227016207
1586,92087.12339275857
1587,140620.50752979427
1588,99391.00078645679
1589,142902.93436198912
1590,142627.4934142196
1591,231902.06868774656
1592,216277.1726606044
1593,141827.27750205266
1594,230450.57189587515
1595,174950.39395650825
1596,193775.76382453938
1597,151228.81192144676
1598,230174.5601729776
1599,256941.65675437893
1600,197932.89997849907
1601,108610.14278351922
1602,245832.7766723094
1603,138005.26057059356
1604,218574.92244314
1605,148531.66727354188
1606,164571.4464933393
1607,105224.27720848046
1608,227885.54098746544
1609,154320.6706165093
1610,112179.19103583576
1611,136651.73667324203
1612,319404.5520338423
1613,189891.1772948054
1614,163743.31921726456
1615,130759.03152976323
1616,92009.10160084713
1617,110210.29526088614
1618,280178.52538762725
1619,232821.42696790805
1620,260833.1571689881
1621,163064.76477210197
1622,385430.23694328376
1623,235191.79757074013
1624,103432.71725853847
1625,147529.8861840216
1626,116755.72608730155
1627,174881.31998473647
1628,333265.4524264366
1629,191857.13527254856
